timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,payload_power_switch,engage_main_motor_switch
199516127,199495996,1,1,0,3,3,3,3,0,0,0,0,0,0
200516458,200496698,1,1,0,3,3,3,3,0,0,0,0,0,0
201536436,201515687,1,1,0,3,3,3,3,0,0,0,0,0,0
202555690,202535724,1,1,0,3,3,3,3,0,0,0,0,0,0
203575684,203539720,1,1,0,3,3,3,3,0,0,0,0,0,0
204592786,204575619,1,1,0,3,3,3,3,0,0,0,0,0,0
205596761,205575639,1,1,0,3,3,3,3,0,0,0,0,0,0
207615687,207595634,1,1,0,3,3,3,3,0,0,0,0,0,0
208635659,208615617,1,1,0,3,3,3,3,0,0,0,0,0,0
209655663,209635464,1,1,0,3,3,3,3,0,0,0,0,0,0
210675327,210655475,1,1,0,3,3,3,3,0,0,0,0,0,0
211675660,211655387,1,1,0,3,3,3,3,0,0,0,0,0,0
212695329,212675405,1,1,0,3,3,3,3,0,0,0,0,0,0
213695381,213675634,1,1,0,3,3,3,3,0,0,0,0,0,0
214695655,214675452,1,1,0,3,3,3,3,0,0,0,0,0,0
215715694,215695349,1,1,0,3,3,3,3,0,0,0,0,0,0
216735357,216715317,1,1,0,3,3,3,3,0,0,0,0,0,0
217735404,217715532,1,1,0,3,3,3,3,0,0,0,0,0,0
218755328,218735258,1,1,0,3,3,3,3,0,0,0,0,0,0
219775368,219755254,1,1,0,3,3,3,3,0,0,0,0,0,0
221815216,221795226,1,1,0,3,3,3,3,0,0,0,0,0,0
222815236,222795086,1,1,0,3,3,3,3,0,0,0,0,0,0
223815251,223795147,1,1,0,3,3,3,3,0,0,0,0,0,0
224835253,224814935,1,1,0,3,3,3,3,0,0,0,0,0,0
225855130,225835109,1,1,0,3,3,3,3,0,0,0,0,0,0
226855159,226834949,1,1,0,3,3,3,3,0,0,0,0,0,0
227875350,227855075,1,1,0,3,3,3,3,0,0,0,0,0,0
228895112,228875282,1,1,0,3,3,3,3,0,0,0,0,0,0
229895124,229835064,1,1,0,3,3,3,3,0,0,0,0,0,0
230075336,229915094,1,1,0,3,3,3,3,0,0,0,0,0,0
231095113,231075069,1,1,0,3,3,3,3,0,0,0,0,0,0
232095319,232075071,1,1,0,3,3,3,3,0,0,0,0,0,0
232435118,232235071,1,1,0,3,3,3,3,0,0,0,0,0,0
233455112,233434945,1,1,0,3,3,3,3,0,0,0,0,0,0
234455113,234435071,1,1,0,3,3,3,3,0,0,0,0,0,0
235474982,235454936,1,1,0,3,3,3,3,0,0,0,0,0,0
236475134,236454938,1,1,0,3,3,3,3,0,0,0,0,0,0
237534981,237474936,1,1,0,3,3,3,3,0,0,0,0,0,0
238590897,238394936,1,1,0,3,3,3,3,0,0,0,0,0,0
239155130,239134854,2,1,0,3,3,1,3,0,0,0,0,0,0
240174980,240154731,2,1,0,3,3,1,3,0,0,0,0,0,0
241194981,241174862,2,1,0,3,3,1,3,0,0,0,0,0,0
242214981,242194713,2,1,0,3,3,1,3,0,0,0,0,0,0
243235125,243214848,2,1,0,3,3,1,3,0,0,0,0,0,0
244254739,244235069,2,1,0,3,3,1,3,0,0,0,0,0,0
245274985,245254668,2,1,0,3,3,1,3,0,0,0,0,0,0
246294743,246274689,2,1,0,3,3,1,3,0,0,0,0,0,0
248314981,248294664,2,1,0,3,3,1,3,0,0,0,0,0,0
249334579,249294634,2,1,0,3,3,1,3,0,0,0,0,0,0
250334579,250314545,2,1,0,3,3,1,3,0,0,0,0,0,0
251354571,251334474,2,1,0,3,3,1,3,0,0,0,0,0,0
252374541,252334475,2,1,0,3,3,1,3,0,0,0,0,0,0
253374569,253354530,2,1,0,3,3,1,3,0,0,0,0,0,0
254114532,253954478,1,1,0,3,3,1,3,0,0,0,0,0,0
254512431,254354530,1,1,0,3,3,1,3,0,0,0,0,0,0
255514476,255494474,1,1,0,3,3,1,3,0,0,0,0,0,0
256514568,256494396,1,1,0,3,3,1,3,0,0,0,0,0,0
257534551,257514407,1,1,0,3,3,1,3,0,0,0,0,0,0
258552446,258534399,1,1,0,3,3,1,3,0,0,0,0,0,0
259554474,259534296,1,1,0,3,3,1,3,0,0,0,0,0,0
260274447,260114282,1,1,0,3,3,1,3,0,0,0,0,0,0
261274569,261254285,1,1,0,3,3,1,3,0,0,0,0,0,0
262294408,262274514,1,1,0,3,3,1,3,0,0,0,0,0,0
263294480,263274312,1,1,0,3,3,1,3,0,0,0,0,0,0
264314536,264294391,1,1,0,3,3,1,3,0,0,0,0,0,0
265334261,265314305,1,1,0,3,3,1,3,0,0,0,0,0,0
265950283,265754282,1,1,0,3,3,1,3,0,0,0,0,0,0
266954283,266931248,1,1,0,3,3,1,3,0,0,0,0,0,0
267954485,267934270,1,1,0,3,3,1,3,0,0,0,0,0,0
268974103,268951241,1,1,0,3,3,1,3,0,0,0,0,0,0
269974118,269934270,1,1,0,3,3,1,3,0,0,0,0,0,0
270994097,270971201,1,1,0,3,3,1,3,0,0,0,0,0,0
272014252,271994048,1,1,0,3,3,1,3,0,0,0,0,0,0
273034289,273014045,1,1,0,3,3,1,3,0,0,0,0,0,0
274054413,274034214,1,1,0,3,3,1,3,0,0,0,0,0,0
275074097,275053966,1,1,0,3,3,1,3,0,0,0,0,0,0
276094257,276034251,1,1,0,3,3,1,3,0,0,0,0,0,0
277094262,277013967,1,1,0,3,3,1,3,0,0,0,0,0,0
278094305,278073967,1,1,0,3,3,1,3,0,0,0,0,0,0
279114002,279094129,1,1,0,3,3,1,3,0,0,0,0,0,0
280114053,280094129,1,1,0,3,3,1,3,0,0,0,0,0,0
281134001,281113963,1,1,0,3,3,1,3,0,0,0,0,0,0
282134003,282114046,1,1,0,3,3,1,3,0,0,0,0,0,0
283134033,283113962,1,1,0,3,3,1,3,0,0,0,0,0,0
284134034,284114024,1,1,0,3,3,1,3,0,0,0,0,0,0
285154007,285133964,1,1,0,3,3,1,3,0,0,0,0,0,0
286174278,286153701,1,1,0,3,3,1,3,0,0,0,0,0,0
287194009,287173701,1,1,0,3,3,1,3,0,0,0,0,0,0
289233666,289213585,1,1,0,3,3,1,3,0,0,0,0,0,0
290234009,290213631,1,1,0,3,3,1,3,0,0,0,0,0,0
291253610,291233661,1,1,0,3,3,1,3,0,0,0,0,0,0
292274002,292253544,1,1,0,3,3,1,3,0,0,0,0,0,0
293291265,293273545,1,1,0,3,3,1,3,0,0,0,0,0,0
294293582,294273626,1,1,0,3,3,1,3,0,0,0,0,0,0
294729511,294553545,1,1,0,3,3,1,3,0,0,0,0,0,0
295012408,294833579,1,1,0,3,3,1,3,0,0,0,0,0,0
296013592,295993549,1,1,0,3,3,1,3,0,0,0,0,0,0
297013605,296993545,1,1,0,3,3,1,3,0,0,0,0,0,0
299052519,299033529,1,1,0,3,3,1,3,0,0,0,0,0,0
300053590,300033621,1,1,0,3,3,1,3,0,0,0,0,0,0
301093575,301053540,1,1,0,3,3,1,3,0,0,0,0,0,0
302093598,302073526,1,1,0,3,3,1,3,0,0,0,0,0,0
303113585,303092328,1,1,0,3,3,1,3,0,0,0,0,0,0
304133588,304113299,1,1,0,3,3,1,3,0,0,0,0,0,0
305153535,305133482,1,1,0,3,3,1,3,0,0,0,0,0,0
305329523,305153490,1,1,0,3,3,1,3,0,0,0,0,0,0
306333347,306313595,1,1,0,3,3,1,3,0,0,0,0,0,0
307353337,307330367,1,1,0,3,3,1,3,0,0,0,0,0,0
308373264,308353255,1,1,0,3,3,1,3,0,0,0,0,0,0
309373307,309350352,1,1,0,3,3,1,3,0,0,0,0,0,0
310253189,310233226,2,1,0,3,3,3,3,0,0,0,0,0,0
311253213,311233536,2,1,0,3,3,3,3,0,0,0,0,0,0
312253281,312233133,2,1,0,3,3,3,3,0,0,0,0,0,0
313273211,313253153,2,1,0,3,3,3,3,0,0,0,0,0,0
314293191,314273136,2,1,0,3,3,3,3,0,0,0,0,0,0
315312868,315292973,2,1,0,3,3,3,3,0,0,0,0,0,0
316313301,316293226,2,1,0,3,3,3,3,0,0,0,0,0,0
317332874,317313032,2,1,0,3,3,3,3,0,0,0,0,0,0
318333008,318313033,2,1,0,3,3,3,3,0,0,0,0,0,0
319333017,319313164,2,1,0,3,3,3,3,0,0,0,0,0,0
320353161,320332939,2,1,0,3,3,3,3,0,0,0,0,0,0
321372900,321352920,2,1,0,3,3,3,3,0,0,0,0,0,0
322372906,322352920,2,1,0,3,3,3,3,0,0,0,0,0,0
323413201,323352919,2,1,0,3,3,3,3,0,0,0,0,0,0
324432959,324412921,2,1,0,3,3,3,3,0,0,0,0,0,0
325432963,325412463,2,1,0,3,3,3,3,0,0,0,0,0,0
326433203,326412830,2,1,0,3,3,3,3,0,0,0,0,0,0
327452877,327432453,2,1,0,3,3,3,3,0,0,0,0,0,0
328452882,328432856,2,1,0,3,3,3,3,0,0,0,0,0,0
330492866,330472821,2,1,0,3,3,3,3,0,0,0,0,0,0
331512972,331492674,2,1,0,3,3,3,3,0,0,0,0,0,0
332532717,332512686,2,1,0,3,3,3,3,0,0,0,0,0,0
333532726,333512698,2,1,0,3,3,3,3,0,0,0,0,0,0
334552890,334532647,2,1,0,3,3,3,3,0,0,0,0,0,0
335552897,335532555,2,1,0,3,3,3,3,0,0,0,0,0,0
336572910,336552845,2,1,0,3,3,3,3,0,0,0,0,0,0
337592680,337572724,2,1,0,3,3,3,3,0,0,0,0,0,0
338612531,338592632,2,1,0,3,3,3,3,0,0,0,0,0,0
339612549,339592539,2,1,0,3,3,3,3,0,0,0,0,0,0
340612643,340592681,2,1,0,3,3,3,3,0,0,0,0,0,0
341632648,341612531,2,1,0,3,3,3,3,0,0,0,0,0,0
342632655,342612673,2,1,0,3,3,3,3,0,0,0,0,0,0
343652721,343632451,2,1,0,3,3,3,3,0,0,0,0,0,0
344652783,344632676,2,1,0,3,3,3,3,0,0,0,0,0,0
345652855,345632519,2,1,0,3,3,3,3,0,0,0,0,0,0
346652881,346632643,2,1,0,3,3,3,3,0,0,0,0,0,0
347672647,347652795,2,1,0,3,3,3,3,0,0,0,0,0,0
348692517,348672432,2,1,0,3,3,3,3,0,0,0,0,0,0
349692671,349672685,2,1,0,3,3,3,3,0,0,0,0,0,0
350712728,350692612,2,1,0,3,3,3,3,0,0,0,0,0,0
351732535,351712365,2,1,0,3,3,3,3,0,0,0,0,0,0
352752682,352732370,2,1,0,3,3,3,3,0,0,0,0,0,0
353772659,353752517,2,1,0,3,3,3,3,0,0,0,0,0,0
354132644,354112535,3,1,0,3,3,3,1,0,0,0,0,0,0
355132653,355112531,3,1,0,3,3,3,1,0,0,0,0,0,0
356132839,356111655,3,1,0,3,3,3,1,0,0,0,0,0,0
357152649,357132623,3,1,0,3,3,3,1,0,0,0,0,0,0
358152664,358131716,3,1,0,3,3,3,1,0,0,0,0,0,0
359172732,359145631,3,1,0,3,3,3,1,0,0,0,0,0,0
359832726,359812610,4,1,0,3,3,3,3,0,0,0,0,0,0
